preyID,Eaten_day,outcome,Rx,sal
3,1,1,1x,9.1
4,1,1,1x,9.1
5,1,1,1x,9.1
6,1,1,1x,9.1
7,1,1,1x,9.1
8,1,1,1x,9.1
9,1,1,1x,9.1
10,3,1,1x,9.1
1,1,1,1x,10
2,1,1,1x,10
3,1,1,1x,10
4,1,1,1x,10
5,1,1,1x,10
6,1,1,1x,10
7,1,1,1x,10
8,1,1,1x,10
9,3,1,1x,10
10,7,1,1x,10
1,1,1,1x,18
2,1,1,1x,18
3,1,1,1x,18
4,1,1,1x,18
5,1,1,1x,18
6,1,1,1x,18
7,1,1,1x,18
8,1,1,1x,18
9,1,1,1x,18
10,5,1,1x,18
1,1,1,1x,19
2,1,1,1x,19
3,1,1,1x,19
4,1,1,1x,19
5,1,1,1x,19
6,1,1,1x,19
7,1,1,1x,19
8,1,1,1x,19
9,1,1,1x,19
10,1,1,1x,19
1,2,1,1x,21
2,2,1,1x,21
3,2,1,1x,21
4,2,1,1x,21
5,2,1,1x,21
6,3,1,1x,21
7,3,1,1x,21
8,4,1,1x,21
9,4,1,1x,21
10,4,1,1x,21
1,1,1,1x,22.1
2,1,1,1x,22.1
3,1,1,1x,22.1
4,1,1,1x,22.1
5,1,1,1x,22.1
6,1,1,1x,22.1
7,1,1,1x,22.1
8,1,1,1x,22.1
9,1,1,1x,22.1
10,1,1,1x,22.1
1,1,1,1x,24
2,1,1,1x,24
3,1,1,1x,24
4,1,1,1x,24
5,1,1,1x,24
6,1,1,1x,24
7,1,1,1x,24
8,1,1,1x,24
9,2,1,1x,24
10,3,1,1x,24
1,1,1,1x,25.1
2,1,1,1x,25.1
3,1,1,1x,25.1
4,1,1,1x,25.1
5,1,1,1x,25.1
6,1,1,1x,25.1
7,1,1,1x,25.1
8,1,1,1x,25.1
9,1,1,1x,25.1
10,1,1,1x,25.1
1,1,1,1x,25.2
2,1,1,1x,25.2
3,1,1,1x,25.2
4,1,1,1x,25.2
5,1,1,1x,25.2
6,1,1,1x,25.2
7,1,1,1x,25.2
8,1,1,1x,25.2
9,1,1,1x,25.2
10,1,1,1x,25.2
1,1,1,1x,26
2,1,1,1x,26
3,1,1,1x,26
4,1,1,1x,26
5,1,1,1x,26
6,1,1,1x,26
7,1,1,1x,26
8,1,1,1x,26
9,1,1,1x,26
10,3,1,1x,26
1,1,1,1x,28
2,1,1,1x,28
3,1,1,1x,28
4,1,1,1x,28
5,1,1,1x,28
6,1,1,1x,28
7,1,1,1x,28
8,1,1,1x,28
9,1,1,1x,28
10,2,1,1x,28
1,1,1,1x,30
2,1,1,1x,30
3,1,1,1x,30
4,1,1,1x,30
5,1,1,1x,30
6,1,1,1x,30
7,1,1,1x,30
8,1,1,1x,30
9,1,1,1x,30
10,1,1,1x,30
1,1,1,1x,31
2,1,1,1x,31
3,1,1,1x,31
4,1,1,1x,31
5,1,1,1x,31
6,1,1,1x,31
7,1,1,1x,31
8,1,1,1x,31
9,2,1,1x,31
10,2,1,1x,31
1,1,1,1x,32
2,1,1,1x,32
3,1,1,1x,32
4,1,1,1x,32
5,1,1,1x,32
6,1,1,1x,32
7,1,1,1x,32
8,1,1,1x,32
9,1,1,1x,32
10,1,1,1x,32
1,1,1,1x,33
2,1,1,1x,33
3,1,1,1x,33
4,1,1,1x,33
5,1,1,1x,33
6,1,1,1x,33
7,1,1,1x,33
8,1,1,1x,33
9,1,1,1x,33
10,1,1,1x,33
1,1,1,1x,36
2,1,1,1x,36
3,1,1,1x,36
4,1,1,1x,36
5,1,1,1x,36
6,1,1,1x,36
7,1,1,1x,36
8,1,1,1x,36
9,1,1,1x,36
10,4,1,1x,36
1,1,1,1x,38
2,1,1,1x,38
3,1,1,1x,38
4,1,1,1x,38
5,1,1,1x,38
6,1,1,1x,38
7,1,1,1x,38
8,1,1,1x,38
9,1,1,1x,38
10,4,1,1x,38
1,1,1,1x,39
2,1,1,1x,39
3,1,1,1x,39
4,1,1,1x,39
5,1,1,1x,39
6,1,1,1x,39
7,1,1,1x,39
8,1,1,1x,39
9,1,1,1x,39
10,1,1,1x,39
1,1,1,1x,40
2,1,1,1x,40
3,1,1,1x,40
4,1,1,1x,40
5,1,1,1x,40
6,1,1,1x,40
7,1,1,1x,40
8,1,1,1x,40
9,1,1,1x,40
10,1,1,1x,40
1,1,1,1x,44.1
2,1,1,1x,44.1
3,1,1,1x,44.1
4,1,1,1x,44.1
5,1,1,1x,44.1
6,1,1,1x,44.1
7,1,1,1x,44.1
8,1,1,1x,44.1
9,1,1,1x,44.1
10,4,1,1x,44.1
1,1,1,1x,44.2
2,1,1,1x,44.2
3,1,1,1x,44.2
4,1,1,1x,44.2
5,1,1,1x,44.2
6,1,1,1x,44.2
7,1,1,1x,44.2
8,1,1,1x,44.2
9,1,1,1x,44.2
10,1,1,1x,44.2
1,1,1,1x,46
2,1,1,1x,46
3,1,1,1x,46
4,1,1,1x,46
5,1,1,1x,46
6,2,1,1x,46
7,3,1,1x,46
8,3,1,1x,46
9,4,1,1x,46
10,6,1,1x,46
1,1,1,1x,48
2,1,1,1x,48
3,1,1,1x,48
4,1,1,1x,48
5,1,1,1x,48
6,1,1,1x,48
7,1,1,1x,48
8,1,1,1x,48
9,1,1,1x,48
10,2,1,1x,48
1,1,1,2x,9.2
2,1,1,2x,9.2
3,1,1,2x,9.2
4,1,1,2x,9.2
5,1,1,2x,9.2
6,1,1,2x,9.2
7,1,1,2x,9.2
8,1,1,2x,9.2
9,1,1,2x,9.2
10,1,1,2x,9.2
1,1,1,2x,15.2
2,1,1,2x,15.2
3,1,1,2x,15.2
4,1,1,2x,15.2
5,1,1,2x,15.2
6,1,1,2x,15.2
7,1,1,2x,15.2
8,1,1,2x,15.2
9,1,1,2x,15.2
10,1,1,3x,15.2
1,1,1,3x,6.2
2,1,1,3x,6.2
3,1,1,3x,6.2
4,1,1,3x,6.2
5,1,1,3x,6.2
6,1,1,3x,6.2
7,2,1,3x,6.2
8,2,1,3x,6.2
9,2,1,3x,6.2
